MEMID,HV106
006020006,"No education, preschool"
006021001,Primary
006021002,Primary
006021003,Primary
006021004,Primary
006022001,Primary
006022002,Primary
006022003,Primary
006022004,Primary
006022005,"No education, preschool"
006023001,Primary
006023002,"No education, preschool"
006023003,Primary
006023004,Primary
006023005,Primary
006024001,Primary
006024002,Secondary
006025001,Primary
006025002,"No education, preschool"
006025003,"No education, preschool"
006025004,"No education, preschool"
006026001,Secondary
006026002,Primary
006026003,Secondary
006026004,Secondary
006026005,Primary
006026006,Primary
006026007,Primary
006027001,Primary
006027002,Primary
006027003,Primary
006027004,Secondary
006027005,Higher
006028001,Primary
006028002,Primary
006028003,Secondary
006028004,Secondary
006028005,Secondary
006028006,Secondary
006028007,Primary
006028008,Primary
006028009,"No education, preschool"
006028010,Primary
006028011,"No education, preschool"
007001001,Primary
007001002,Primary
007001003,Primary
007001004,Primary
007001005,Primary
007002001,Primary
007002002,Higher
007002003,Primary
007002004,Primary
007002005,"No education, preschool"
007002006,Primary
007002007,"No education, preschool"
007002008,"No education, preschool"
007004001,Secondary
007004002,Primary
007004003,Primary
007005001,Primary
007005002,"No education, preschool"
007006001,Higher
007006002,Primary
007006003,Secondary
007006004,Secondary
007007001,Primary
007007002,Primary
007007003,Primary
007007004,Secondary
007007005,Secondary
007007006,Primary
007007007,"No education, preschool"
007007008,"No education, preschool"
007008001,Primary
007008002,Primary
007008003,Secondary
007008004,Secondary
007009001,Primary
007009002,Primary
007009003,Secondary
007009004,Secondary
007009005,Secondary
007009006,Primary
007009007,Primary
007009008,"No education, preschool"
007010001,Primary
007010002,Primary
007010003,Primary
007010004,Secondary
007011001,Primary
007011002,Secondary
007011003,Secondary
007011004,Secondary
007012001,Primary
007012002,Secondary
007012003,Secondary
007012004,Secondary
007012005,Secondary
007012006,Primary
007012007,Primary
007012008,"No education, preschool"
007012009,"No education, preschool"
007013001,Primary
007013002,Primary
007013003,Secondary
007013004,Primary
007014001,Secondary
007014002,Secondary
007014003,"No education, preschool"
007015001,Secondary
007015002,"No education, preschool"
007015003,Primary
007015004,"No education, preschool"
007015005,Secondary
007016001,Primary
007016002,Primary
007017001,Primary
007017002,Primary
007017003,Secondary
007017004,"No education, preschool"
007017005,Primary
007017006,Primary
007018001,Primary
007018002,Primary
007018003,Primary
007018004,Secondary
007018005,Primary
007018006,Primary
007018007,Primary
007018008,Primary
007019001,Primary
007019002,Primary
007019003,Secondary
007019004,Primary
007019005,Secondary
007019006,"No education, preschool"
007020001,Primary
007020002,Secondary
007020003,Secondary
007020004,"No education, preschool"
007020005,"No education, preschool"
007020006,Primary
007020007,Primary
007021001,Secondary
007021002,Secondary
007021003,Secondary
007021004,Primary
007022001,Primary
007022002,Primary
007022003,Primary
007022004,"No education, preschool"
007022005,"No education, preschool"
007022006,Primary
007023001,Primary
007023002,Primary
007023003,Secondary
007023004,Secondary
007023005,"No education, preschool"
007023006,Higher
007023007,Secondary
007024001,Primary
007024002,Secondary
007024003,Secondary
007024004,Secondary
007024005,Primary
007025001,Primary
007025002,Primary
007025003,"No education, preschool"
007026001,Primary
007026002,Primary
007026003,Higher
007026004,Primary
007026005,"No education, preschool"
007027001,Secondary
007027002,Secondary
007027003,Higher
007027004,Secondary
007027005,Primary
007027006,"No education, preschool"
007027007,"No education, preschool"
007028001,Primary
007028002,"No education, preschool"
007028003,Primary
007028004,Secondary
007028005,"No education, preschool"
008001001,Primary
008001002,Primary
008001003,Primary
008002001,Secondary
008002002,Secondary
008002003,Primary
008002004,"No education, preschool"
008003001,Primary
008003002,Primary
008003003,Primary
008003004,Secondary
008003005,Primary
008003006,Primary
008003007,"No education, preschool"
008003008,Secondary
008004001,Primary
008004002,Primary
008004003,Higher
008004004,Primary
008005001,Secondary
008005002,Primary
008005003,Primary
008005004,"No education, preschool"
008006001,Primary
008006002,Primary
008006003,Secondary
008007001,Primary
008007002,"No education, preschool"
008007003,"No education, preschool"
008008001,Primary
008008002,Primary
008008003,Primary
008009001,Primary
008009002,Primary
008009003,Secondary
008009004,Secondary
008009005,Primary
008009006,Primary
008009007,"No education, preschool"
008010001,Primary
008010002,Primary
008010003,Secondary
008010004,Secondary
008010005,Primary
008011001,Primary
008011002,Primary
008011003,Secondary
008011004,Secondary
008011005,"No education, preschool"
008011006,Primary
008012001,Primary
008012002,"No education, preschool"
008013001,Primary
008013002,Secondary
008013003,"No education, preschool"
008013004,Primary
008013005,Secondary
008013006,Primary
008014001,Primary
008014002,Primary
008014003,"No education, preschool"
008014004,Secondary
008014005,Secondary
008014006,"No education, preschool"
008015001,Primary
008015002,Primary
008015003,Secondary
008015004,Primary
008015005,"No education, preschool"
008015006,Secondary
008016001,Primary
008016002,Primary
008016003,Higher
008016004,Secondary
008016005,"No education, preschool"
008017001,Primary
008017002,Primary
008017003,"No education, preschool"
008018001,Primary
008018002,Secondary
008018003,Secondary
008019001,Secondary
008019002,Primary
008019003,Primary
008019004,Primary
008019005,Primary
008020001,Primary
008020002,Primary
008020003,"No education, preschool"
008020004,Primary
008020005,Primary
008020006,Primary
008020007,Primary
008020008,"No education, preschool"
008021001,Primary
008021002,Primary
008022001,Primary
008022002,Primary
008022003,Primary
008022004,"No education, preschool"
008023001,Primary
008023002,Primary
008023003,Secondary
008023004,Primary
008023005,"No education, preschool"
008024001,Primary
008024002,Primary
008024003,Secondary
008025001,Secondary
008025002,"No education, preschool"
008025003,Secondary
008025004,Secondary
008026001,"No education, preschool"
008026002,Secondary
008026003,Primary
008026004,"No education, preschool"
008027001,Primary
008027002,Primary
008027003,Secondary
008027004,Primary
008027005,Secondary
008027006,"No education, preschool"
008027007,Secondary
008027008,"No education, preschool"
008027009,"No education, preschool"
008028001,"No education, preschool"
008028002,Primary
008028003,Secondary
008028004,Primary
009001001,Primary
009001002,Primary
009001003,Higher
009002001,Primary
009002002,"No education, preschool"
009002003,Secondary
009002004,Secondary
009002005,Primary
009002006,"No education, preschool"
009003001,"No education, preschool"
009003002,Secondary
009003003,Secondary
009003004,Primary
009005001,"No education, preschool"
009005002,"No education, preschool"
009005003,Primary
009005004,"No education, preschool"
009006001,Secondary
009006002,"No education, preschool"
009006003,Secondary
009006004,Primary
009007001,Secondary
009007002,Primary
009007003,Secondary
009007004,Primary
009007005,Primary
009007006,Primary
009007007,"No education, preschool"
